video_id,video_title,upload_date,view_count,like_count,comment_count
n_3XDVOVraI,Data Science Podcast with Jess Haberman from Anaconda,2023-05-02,966,28,3
hrIayomatvE,"Streamlit Hackathon - Ready, Set, Build!",2023-05-01,1051,47,4
gAX5wYvyQiM,Building a web app in Python for analyzing YouTube channels,2023-03-25,6523,225,11
tmpXcc4pSPA,ChatGPT a threat for schools?,2023-02-14,1711,35,8
QlQPsvHSYfQ,How to use ChatGPT to Explain Code,2023-01-29,8041,159,15
ELJzUcYrAIQ,How to use ChatGPT to Generate Code in 90 seconds,2023-01-20,5455,94,12
ty_lQUNTR0I,How to summarize text using ChatGPT,2023-01-13,58417,476,43
Nj_zUMVuRUg,How to get started with ChatGPT for Beginners,2023-01-08,12179,353,36
SKpu2G2q1Fk,Build machine learning models in Google Sheets,2022-12-22,7590,317,18
OQv1jnw9_5s,How to Built an App for Converting Video to Animated Images in Python (Full code inside),2022-12-16,3400,119,7
TbundVfb8ow,Welcome to the Data Professor YouTube channel,2022-12-06,6905,129,17
GHoE4VkDehY,How to build a protein structure prediction app in Python using ESMFold and Streamlit,2022-11-29,6203,260,22
AqnFXHBZZWI,Streamlit at tech conference Build 22,2022-11-12,1853,41,7
zvWhdcpPJJg,How to quickly prototype your Streamlit web app,2022-11-04,2760,73,8
wB7IU0EFN68,How I would learn to code (If I had to start over),2022-10-25,4583,233,16
lczFQ9khCA0,Build a data storytelling web app in Python with ipyvizzu | Streamlit tutorial,2022-10-18,8364,346,25
o6wQ8zAkLxc,Building a Dashboard web app in Python - Full Streamlit Tutorial,2022-10-12,28165,637,33
H85FsjneRuo,Tips for learning to code,2022-10-06,2064,86,1
NxHeqD9bGhk,Advice on breaking into Tech from a FAANG Developer (@CodewithVincent),2022-09-30,888,16,4
TzThyoL4sU4,Introduction to Computational Drug Discovery,2022-09-21,5815,203,9
sJ_NhlX5ZF0,Data Science Podcast with @misraturp,2022-09-12,2710,66,10
xTfaJsn2PN0,How to run R and Python together in a Streamlit app,2022-08-31,3620,115,19
cGx-SIKlk5w,Faster Data Analysis in Python with Mito,2022-08-05,5105,235,9
qcV3GPeRpvA,How to become a Full-Stack Developer with Meta x Coursera,2022-07-31,7195,176,25
9DH3MIBYLhw,How to build a content moderation app in Python for analyzing audio files,2022-07-28,2189,48,4
87EVnX9kTkQ,Walkthrough of How I use Coding for Data Analysis,2022-07-25,4657,261,10
ugEVqnP8xfQ,This ONE thing helped me learn to CODE,2022-07-22,4074,274,3
1AiBgm-iZO4,How to build a Linktree Clone using Python + Streamlit,2022-07-18,4640,152,19
cSBAnFFI29E,Free computing resource for data science,2022-07-06,4065,161,10
rBPEQW2TjZw,MLOps 101 - A Practical Tutorial on Creating a Machine Learning Project with DagsHub,2022-06-13,6524,160,9
Sm-CrsUIFVk,Cloud Dataholics - Sitcom for Data Enthusiast,2022-06-10,1578,62,3
l6YfXTHk59E,How to come up with Data Science projects - From Ideas to Implementation,2022-06-03,4225,180,19
SpBzOY-TIvg,Introduction to DagsHub for Data Science,2022-05-30,46218,345,13
29ZQ3TDGgRQ,Build your first machine learning model in Python,2022-05-27,39881,1114,92
5Sv407gadB8,Introducing the Cloud Dataholics sitcom by AtScale,2022-05-25,1046,31,7
B7l5qcHAHro,How to build VennLit App for comparing lists in Python using Streamlit,2022-05-21,3134,91,7
sm3IuE7zkYQ,How to build a portfolio website for data science | Hugo + Hostinger,2022-05-13,9349,243,10
l2nBO_LkkcQ,How to create graphs using Mito,2022-05-05,2744,98,8
5exvNMwf80U,How to stay up-to-date in data science,2022-04-25,4954,250,38
DctmeFx8s_k,How to build a machine learning model in Python from scratch,2022-04-11,22490,533,27
fThcHGiTOeQ,How to Build a Dashboard Web App in Python with Streamlit,2022-04-01,34188,570,32
0gT_Ro8ijII,Tips and Tricks for building web applications in Python with Streamlit (Ft. Avra),2022-03-25,8870,223,19
Ov9a8Gr7yFc,"The AI Conference NVIDIA GTC 22 kicks off today (Giveaway, details inside)",2022-03-21,1421,43,23
8rb9GefC_CU,How to Build a Real-Time Transcription Web App in Python using AssemblyAI and Streamlit,2022-03-16,8610,289,29
5UhBnXWbCMY,How to Create an Engaging README for your Data Science Project on GitHub,2022-03-11,2280,154,18
BVNjuUx6McU,Python 101 for Beginners,2022-02-23,6275,195,19
nxGbVrmZkeQ,So how is a machine learning model built?,2022-02-20,5379,90,17
ip0PiZGSwV8,Python Data Science in a Spreadsheet,2022-02-15,6667,223,15
evnNNGWETtg,How to build a data science resume (portfolio website) in Python with Streamlit,2022-02-07,13839,562,52
BuuH0wsJ8-k,Fastest way to upload files from Google Drive to Google Colab,2022-01-29,23781,360,37
kHHym9neKRs,How to get started with Pandas for Data Science,2022-01-26,6135,228,46
cuoPma70qac,Live Coding a Streamlit App for Data Science from Scratch,2022-01-22,8560,219,32
hmKvdowNsNE,Data Science Podcast on Time Series Prediction with Ben Auffarth,2022-01-17,2842,96,18
WXy10mi7Akc,How to create your first data science project,2022-01-13,10355,384,22
gr_KyGfO_eU,How to apply custom CSS styles in Streamlit apps,2022-01-09,26251,390,53
cQNdQ7n1New,How to get started with the 66 Days of Data challenge,2022-01-06,5505,159,21
jXE-qrEW02U,dabl - A Python library for AutoEDA and AutoML,2022-01-03,6650,270,21
LpRtQaE15HQ,How to use Machine Learning to explain how drugs work,2021-12-30,4022,202,16
Z5YeexuGjo4,The Future of this Data Science YouTube Channel,2021-12-25,2156,148,54
WACt59_pfLo,How to Stay Motivated Learning Data Science,2021-12-21,4083,212,38
zRWFR1SSBFc,How to do research? and How to write a research paper?,2021-12-11,4864,311,40
gk7rOmNQbj8,Ligand-based drug discovery | Online drug discovery course,2021-12-10,4873,159,28
NNq_XBVk30w,How to build your own Speech-to-Text Transcription App in Python using AssemblyAI and Streamlit,2021-12-03,13929,327,31
0cUBRqdai-M,Exploring and Analyzing Data with Mito,2021-11-26,3000,106,10
mkVjrB8g6mM,What is the best way to learn data science?,2021-11-21,5135,187,9
J8GODfmKRHw,My journey into data science,2021-11-20,8353,214,33
F6CEXNb54TI,How to web scrape data using no code with Octoparse,2021-11-18,22773,328,51
IyffPjcbWnY,How to Create Your Personal Data Science Learning Curriculum,2021-11-09,9074,366,31
Kj0JtjAxxKA,How to build a Google Scholar App | Streamlit #30,2021-11-05,3380,82,2
Ndj3cBVh23c,Using Mito to make Machine Learning Easier,2021-10-29,3096,88,10
WRxCQWfZ6Mc,Streamlit 101 - How to clone and reproduce a Streamlit web app from SCRATCH,2021-10-26,3910,85,7
KDcz2mF3Yuk,Streamlit 101 - How to setup your Streamlit working environment,2021-10-20,12642,145,2
PUeoB2L2WfU,How to Use Mito for Data Analysis in Python,2021-10-15,4652,167,17
ij1mBDgskIk,The upcoming NVIDIA GTC is FREE + Giveaways (Swag Bag and Course Credits),2021-10-11,2315,67,65
_GtEgiWWyK4,Call for Participation in the Open Bioinformatics Research Project,2021-10-10,22725,853,167
hoPvOIJvrb8,Is it Possible to Add a Navigation Bar to Streamlit Apps? | Streamlit #29,2021-10-03,22023,413,30
CkcJ9_dpjqw,How to build a Cryptocurrency Price App in Python using Binance API | Streamlit #28,2021-10-02,11388,280,59
RL25hgfLd8Q,An Introduction to Computational Drug Discovery,2021-09-25,34597,1177,91
dYBMVTqM86U,How to automatically clean data with BitRook,2021-09-22,3145,169,18
LHsp8ns9DkM,How to use Mito to automatically generate Python code for data visualization,2021-09-18,5475,180,14
o_mnbn8nFL8,How to build machine learning models for imbalanced datasets,2021-09-14,5847,203,24
9zBzLkuFz8k,Data Science Podcast with Pat Walters (Cheminformatics Scientist),2021-09-10,4433,171,30
V6XFj5PltoM,How to automate data processing in Python with Mito,2021-09-07,7535,257,41
uPg7PEdx7WA,Data Science Podcast with Tyler Richards (Facebook Data Scientist),2021-09-04,3087,113,29
53x330upumY,Building and deploying your first machine learning app in Python using Gradio,2021-09-01,11109,346,42
6gLhxlOn_Jk,Top 5 Python Libraries for Data Visualization (Ft. @CodingProfessor),2021-08-29,5388,235,12
i-k7G6wN96o,Building a Simple Digits Image Classification Model,2021-08-25,3231,96,17
L4Pv6ExBQPM,How to Monitor Machine Learning Models (Evidently AI),2021-08-21,11634,307,22
Ij88ejc0vcI,FLAML - The AutoML from Microsoft (Machine Learning Models in 3 Lines of Code),2021-08-17,6085,212,17
mX8ctLGR_FY,How to write a great looking research article using LaTeX on Overleaf,2021-08-13,33312,693,61
M4443AU70VE,Podcast with Minhaaj Rehman on Data Science and Psychology,2021-08-10,1749,62,11
PxXMNC_i0_c,DataPrep Python library for Easy Data Preparation and EDA,2021-08-07,9196,304,33
kzSE6XTsnug,Data Slicing in Python with Mito,2021-08-03,2790,90,17
OkxiQZZbKBg,What if Data Science was a Building Block? (Dolphyn),2021-07-31,2312,97,13
BlPmYyEBmQ0,How I Use Notion as a Professor and Content Creator in Data Science (Template Included),2021-07-28,7838,228,29
IdGyLUsVgIc,AlphaFold 2 Learns the Entire Human Proteome (AlphaFold Protein Structure Database),2021-07-25,4307,183,14
4gNg88cvnHE,Data Science Podcast with Nate at StrataScratch,2021-07-23,1341,66,1
0WUHmRKpwVY,AlphaFold 2 Paper with Code,2021-07-20,11168,338,38
Vg4JLbxVuFA,How to handle missing data with Pandas,2021-07-16,2235,101,12
sepml4GLLSM,How to build a Portfolio website that supports Jupyter notebooks using fastpages,2021-07-13,7254,222,35
Ge17mZe54dY,How to Build a Machine Learning Model Performance Calculator App,2021-07-10,5077,156,18
rEmDyZHz5U8,How to build machine learning models for drug discovery using PaDELPy,2021-07-05,7886,211,34
oPFs-lOLumE,How to handle missing data in R (Ft. @StatisticsGlobe),2021-07-02,2837,115,25
3AqQn94KVZU,Data Science for Bioinformatics,2021-06-27,13259,475,47
aoTExfJG0mY,AutoPlotter - A GUI based Exploratory Data Analysis in Python,2021-06-26,5014,225,32
AeUnO1oNv08,How to Master Python for Data Science,2021-06-21,6829,291,31
z9J78rxhcrQ,How to Create Animated Plots in R,2021-06-20,5976,194,20
3jxSW8wJKrc,Who is @KenJee_ds? (Data science and Sports analytics),2021-06-17,1616,67,12
eyihOXKdVP4,Exploratory Data Analysis in Python using Mito,2021-06-11,3668,137,15
6NXLGP65S2Q,How to Build a Simple Portfolio Website for FREE,2021-06-04,8846,314,35
4SivdTLIwHc,How to handle imbalanced datasets in Python,2021-05-28,26449,788,91
LHM0Couv0w4,How to Build Bioinformatics Tools,2021-05-21,32983,1028,69
vEuGCuCdPDo,My thoughts and review of the Google Data Analytics Professional Certificate,2021-05-19,13114,353,100
C6gBcL9sAIw,How to paraphrase text in Python using the PARROT library (Ft. @KenJee_ds),2021-05-16,10280,284,61
yKPMetjQqsk,How to make a Histogram plot in Python using Matplotlib | Ft.@CodingProfessor,2021-05-14,5155,95,21
ixOv3AGFMmI,Ep. 2 How to create a finance web app in 1 minute using Streamlit #shorts,2021-05-11,10530,375,10
iPj6QKMd8qA,Ep. 1 How to create your first Streamlit web app in 1 minute #shorts,2021-05-09,14590,516,16
FwzKda14hWo,How to create and share beautiful images of your source code with CARBON #shorts,2021-05-08,4893,200,9
hElj6cp4Dzs,Data science in Psychology - Gaining insights on the Big 5 Personality Traits (Ft. Minhaaj Rehman),2021-05-07,5084,195,25
0rqIwSeUImo,How to build a web app for Drug Discovery in Python | Streamlit #26,2021-05-05,5418,133,32
zqi51Wu5qC0,How to easily perform statistical analysis in Python with the Pengouin library,2021-05-02,5885,243,21
jYlwwNycVh8,How to quickly explore data in Python using the D-Tale library,2021-04-29,12550,440,44
K2HrKyK0Ip4,How to use Mito for pre-processing datasets in Python (low code approach),2021-04-26,2480,94,26
v2M4AEOb3MM,How to deploy machine learning model as an app in Python using Gradio,2021-04-23,10565,301,37
2gtlSLCTHH0,How to build a Currency Converter App | Streamlit #25,2021-04-19,3535,118,23
0BGLfYY26zQ,How to stack machine learning models in Python,2021-04-16,20270,687,73
PaZAUpOKUvA,My thoughts on web frameworks in Python and R (PyWebIO vs Streamlit vs R Shiny),2021-04-15,11628,197,43
n6I58WJiKGU,How to build your first simple web application in Python with PyWebIO,2021-04-13,71763,861,56
9o01PkURel4,How to create variables and lists in R | R Tutorial #4,2021-04-11,2493,52,13
zGK9ZfvRRoM,How to paraphrase text in Python using transformers,2021-04-09,12634,319,48
HhYUemO87Cs,Learn about the R Data Types | R Tutorial #3,2021-04-06,1372,60,7
Hfry5XnISyc,Easy webscraping in Python,2021-04-04,5148,260,30
gc2zh9pBNKs,How to install R packages | R Tutorial #2,2021-04-02,1278,42,26
cDPFWbjg8Tc,How to set up the R programming environment | R Tutorial #1,2021-03-31,5074,125,52
3xJYP_C4KNE,How to customize the themes of your Streamlit web apps | Streamlit #24,2021-03-28,13183,198,39
jClM6Sbx7go,NVIDIA GTC21 (The AI Conference) is FREE + Course Giveaway,2021-03-25,2348,103,104
xt4hrtG4t3s,How to build an app for combining the contents of multiple spreadsheets | Streamlit #23,2021-03-22,4975,131,27
ZgypAMRcmw8,Quickly build Explainable AI dashboards in Python (explainerdashboard library),2021-03-19,11941,397,38
TaNfYKaid80,Making Sense of Data with Explainable AI (shapash Python library),2021-03-16,5593,287,28
